date : 02:00 27/10/2022 | % : 2.35% | value : 464.49298004657084$ 
date : 02:00 28/10/2022 | % : 1.00% | value : 464.49298004657084$ 
date : 02:00 29/10/2022 | % : 1.19% | value : 464.49298004657084$ 
date : 02:00 30/10/2022 | % : 0.88% | value : 464.49298004657084$ 
date : 01:00 31/10/2022 | % : 0.91% | value : 464.49298004657084$ 
date : 01:00 01/11/2022 | % : 0.03% | value : 464.49298004657084$ 
date : 01:00 02/11/2022 | % : 1.26% | value : 464.49298004657084$ 
date : 01:00 03/11/2022 | % : 0.28% | value : 464.49298004657084$ 
date : 01:00 04/11/2022 | % : 3.21% | value : 464.49298004657084$ 
date : 01:00 05/11/2022 | % : 0.71% | value : 464.49298004657084$ 
date : 01:00 06/11/2022 | % : 1.80% | value : 464.49298004657084$ 
date : 01:00 07/11/2022 | % : 1.83% | value : 464.49298004657084$ 
date : 01:00 08/11/2022 | % : 7.45% | value : 464.49298004657084$ 
date : 01:00 09/11/2022 | % : 16.05% | value : 464.49298004657084$ 
date : 01:00 10/11/2022 | % : 9.54% | value : 464.49298004657084$ 
date : 01:00 11/11/2022 | % : 3.12% | value : 464.49298004657084$ 
date : 01:00 12/11/2022 | % : 1.53% | value : 464.49298004657084$ 
date : 01:00 13/11/2022 | % : 2.82% | value : 464.49298004657084$ 
date : 01:00 14/11/2022 | % : 1.28% | value : 464.49298004657084$ 
date : 01:00 15/11/2022 | % : 1.67% | value : 464.49298004657084$ 
date : 01:00 16/11/2022 | % : 1.53% | value : 464.49298004657084$ 
date : 01:00 17/11/2022 | % : -1.87% | value : 464.49298004657084$ 
date : 01:00 18/11/2022 | % : 0.44% | value : 464.49298004657084$ 
date : 01:00 19/11/2022 | % : 0.01% | value : 464.49298004657084$ 
date : 01:00 20/11/2022 | % : 2.22% | value : 464.49298004657084$ 
date : 01:00 21/11/2022 | % : 3.63% | value : 464.49298004657084$ 
date : 01:00 22/11/2022 | % : 2.75% | value : 464.49298004657084$ 
date : 01:00 23/11/2022 | % : 2.30% | value : 464.49298004657084$ 
date : 01:00 24/11/2022 | % : 0.03% | value : 464.49298004657084$ 
date : 01:00 25/11/2022 | % : 0.58% | value : 464.49298004657084$ 
date : 01:00 26/11/2022 | % : 0.38% | value : 464.49298004657084$ 
date : 01:00 27/11/2022 | % : 0.18% | value : 464.49298004657084$ 
date : 01:00 28/11/2022 | % : 1.36% | value : 464.49298004657084$ 
